NP_524896.2	NM_080157.3	100.000	359	0	0	135	493	1614	2690	5.20e-143	450
NP_524896.2	NM_001316543.1	100.000	359	0	0	135	493	1614	2690	3.28e-142	450
NP_524896.2	NM_142320.2	96.678	301	10	0	193	493	451	1353	3.79e-122	386
NP_524896.2	NM_169735.2	96.678	301	10	0	193	493	624	1526	1.09e-121	386
NP_524896.2	NM_169736.2	96.678	301	10	0	193	493	633	1535	1.14e-121	386
NP_524896.2	NM_001316544.1	96.678	301	10	0	193	493	633	1535	1.14e-121	386
NP_524896.2	NM_001275719.2	96.678	301	10	0	193	493	633	1535	1.14e-121	386
NP_524896.2	NM_206498.2	96.678	301	10	0	193	493	619	1521	1.20e-120	386
NP_524896.2	NM_001316545.1	96.678	301	10	0	193	493	633	1535	1.29e-120	386
NP_524896.2	NM_001316542.1	96.678	301	10	0	193	493	5557	6459	6.51e-118	386
NP_524896.2	NM_169733.5	64.151	53	19	0	388	440	1297	1455	4.44e-15	79.7
NP_524896.2	NM_057345.5	64.151	53	19	0	388	440	1820	1978	4.59e-15	79.7
NP_524896.2	NM_001170161.2	64.151	53	19	0	388	440	1921	2079	4.62e-15	79.7
NP_524896.2	NM_001260216.2	64.151	53	19	0	388	440	2218	2376	4.77e-15	79.7
NP_524896.2	NM_169728.3	54.688	64	28	1	378	440	1738	1929	4.99e-15	79.3
NP_524896.2	NM_169730.3	54.688	64	28	1	378	440	1765	1956	5.93e-15	79.3
NP_524896.2	NM_169729.3	54.688	64	28	1	378	440	1789	1980	6.02e-15	79.0
NP_524896.2	NM_080504.4	54.688	64	28	1	378	440	1816	2007	8.43e-15	78.6
NP_524896.2	NM_206449.1	54.412	68	29	2	374	440	2357	2557	8.61e-15	78.6
NP_524896.2	NM_206452.1	54.412	68	29	2	374	440	2568	2768	8.70e-15	78.6
NP_524896.2	NM_206451.1	54.412	68	29	2	374	440	2318	2518	9.46e-15	78.6
NP_524896.2	NM_206444.1	54.412	68	29	2	374	440	2529	2729	9.56e-15	78.6
NP_524896.2	NM_206446.1	59.322	59	23	1	383	440	2393	2569	1.15e-14	78.2
NP_524896.2	NM_206445.1	59.322	59	23	1	383	440	2604	2780	1.17e-14	78.2
NP_524896.2	NM_058150.3	56.604	53	23	0	388	440	833	991	1.20e-14	77.8
NP_524896.2	NM_206453.1	59.322	59	23	1	383	440	2393	2569	1.27e-14	78.2
NP_524896.2	NM_206448.1	59.322	59	23	1	383	440	2604	2780	1.29e-14	78.2
NP_524896.2	NM_206450.1	59.322	59	23	1	383	440	2354	2530	1.44e-14	78.2
NP_524896.2	NM_206447.1	59.322	59	23	1	383	440	2565	2741	1.45e-14	78.2
NP_524896.2	NM_080500.4	60.377	53	21	0	388	440	1720	1878	3.10e-14	77.0
NP_524896.2	NM_206443.2	59.259	54	22	0	387	440	1441	1602	3.10e-14	77.0
NP_524896.2	NM_079524.4	59.259	54	22	0	387	440	1594	1755	3.13e-14	77.0
NP_524896.2	NM_206497.3	60.377	53	21	0	388	440	1747	1905	4.00e-14	76.6
NP_524896.2	NM_057321.5	60.377	53	21	0	388	440	1566	1724	2.22e-13	74.3
NP_524896.2	NM_206441.2	60.377	53	21	0	388	440	1551	1709	2.46e-13	73.9
NP_524896.2	NM_206439.2	60.377	53	21	0	388	440	1536	1694	2.55e-13	73.9
NP_524896.2	NM_206440.2	60.377	53	21	0	388	440	1551	1709	2.69e-13	73.9
NP_524896.2	NM_057853.3	54.717	53	24	0	388	440	1588	1746	1.21e-12	71.6
NP_524896.2	NM_170026.2	54.545	55	25	0	386	440	253	417	1.99e-12	67.4
NP_524896.2	NM_057446.3	52.830	53	25	0	388	440	192	350	9.63e-12	67.0
NP_524896.2	NM_206365.3	52.727	55	26	0	386	440	736	900	1.50e-11	67.0
NP_524896.2	NM_001144545.2	52.830	53	25	0	388	440	197	355	1.69e-11	66.6
NP_524896.2	NM_057445.3	45.714	70	34	2	371	440	278	475	2.91e-11	66.6
NP_524896.2	NM_001273712.1	49.206	63	31	1	378	439	1218	1406	3.51e-11	67.0
NP_524896.2	NM_134301.4	47.826	69	31	1	371	439	998	1189	4.27e-11	66.6
NP_524896.2	NM_057606.6	47.826	69	31	1	371	439	1161	1352	4.40e-11	66.6
NP_524896.2	NM_139907.3	50.000	68	31	1	376	440	1453	1656	1.15e-10	65.5
NP_524896.2	NM_057265.4	58.000	50	21	0	391	440	1757	1906	2.44e-10	64.3
NP_524896.2	NM_079797.3	60.870	46	18	0	394	439	631	768	2.95e-10	63.2
NP_524896.2	NM_170294.1	60.870	46	18	0	394	439	658	795	3.16e-10	63.2
NP_524896.2	NM_001260024.1	58.000	50	21	0	391	440	568	717	4.58e-10	63.2
NP_524896.2	NM_078946.4	47.541	61	32	0	380	440	283	465	7.21e-10	62.4
NP_524896.2	NM_169958.2	45.902	61	33	0	379	439	634	816	1.77e-09	61.2
NP_524896.2	NM_057976.3	53.846	52	24	0	388	439	1514	1669	1.19e-08	58.9
NP_524896.2	NM_001259965.2	55.769	52	23	0	388	439	421	576	2.10e-08	56.2
NP_524896.2	NM_001299706.1	51.923	52	25	0	388	439	340	495	2.31e-08	57.8
NP_524896.2	NM_137647.2	51.923	52	25	0	388	439	340	495	2.70e-08	57.8
NP_524896.2	NM_079709.3	45.588	68	32	2	375	439	1132	1329	3.31e-08	57.0
NP_524896.2	NM_142100.3	47.541	61	29	1	382	439	1572	1754	3.92e-08	57.4
NP_524896.2	NM_001316524.1	47.541	61	29	1	382	439	1634	1816	3.95e-08	57.4
NP_524896.2	NM_169580.3	47.541	61	29	1	382	439	1899	2081	4.05e-08	57.4
NP_524896.2	NM_001260174.3	47.541	61	29	1	382	439	1716	1898	4.22e-08	57.4
NP_524896.2	NM_169763.3	50.000	52	26	0	388	439	1839	1994	9.82e-08	55.8
NP_524896.2	NM_001275745.1	50.000	52	26	0	388	439	1839	1994	9.82e-08	55.8
NP_524896.2	NM_001300447.1	50.000	52	26	0	388	439	1839	1994	1.04e-07	55.8
NP_524896.2	NM_166689.2	49.057	53	27	0	387	439	985	1143	1.31e-07	55.5
NP_524896.2	NM_079133.2	49.057	53	27	0	387	439	985	1143	1.37e-07	55.5
NP_524896.2	NM_001144287.2	49.057	53	27	0	387	439	985	1143	1.55e-07	55.1
NP_524896.2	NM_058002.3	52.830	53	25	0	388	440	961	1119	2.19e-07	54.3
NP_524896.2	NM_169560.2	46.269	67	30	1	379	439	1446	1646	2.31e-07	54.7
NP_524896.2	NM_057798.3	52.174	46	22	0	394	439	1105	1242	2.48e-07	54.3
NP_524896.2	NM_206006.2	52.830	53	25	0	388	440	961	1119	2.56e-07	54.3
NP_524896.2	NM_057525.3	46.154	52	28	0	388	439	924	1079	3.43e-07	53.9
